Title,Artist,Cluster,File
De Weg,Guus Meeuwis,Кластер 4,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/De_Weg-Guus_Meeuwis.mp3
Don't Let Me Be Misunderstood,Santa Esmeralda,Кластер 5,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/Dont_Let_Me_Be_Misunderstood-Santa_Esmeralda.mp3
Traffic - Radio Edit,Tiësto,Кластер 9,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/Traffic-Tisto.mp3
Take Me Out,Franz Ferdinand,Кластер 5,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/Take_Me_Out-Franz_Ferdinand.mp3
American Idiot,Green Day,Кластер 6,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/American_Idiot-Green_Day.mp3
Breaking the Habit,Linkin Park,Кластер 5,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/Breaking_The_Habit-Linkin_Park.mp3
Come Undone,Robbie Williams,Кластер 2,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/Come_Undone-Robbie_Williams.mp3
Run,Snow Patrol,Кластер 5,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/Run-Snow_Patrol.mp3
"You're The First, The Last, My Everything",Barry White,Кластер 5,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/Youre_the_First_the_Last_My_Everything-Barry_White.mp3
The Day After Tomorrow,Saybia,Кластер 7,/Users/mariakonasova/My_wave_app/src/main/resources/ClusteredLibrary/The_Day_After_Tomorrow-Saybia.mp3
